country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Argentina,G. Yordan,AR,23,SA,€210K,Fifa Score,Vélez Sarsfield,€1K,1000,210000
Argentina,G. Gómez,AR,21,SA,€260K,Fifa Score,Racing Club de Avellaneda,€1K,1000,260000
Argentina,A. Melo,AR,21,SA,€400K,Fifa Score,Atlético Tucumán,€2K,2000,400000
Argentina,I. Hongn,AR,26,SA,€250K,Fifa Score,Club Atlético Tigre,€2K,2000,250000
Argentina,S. Magallán,AR,25,SA,€270K,Fifa Score,C.D. Leonesa S.A.D.,€1K,1000,270000
Argentina,F. Costa,AR,28,SA,€170K,Fifa Score,Club Atlético Patronato,€1K,1000,170000
Argentina,N. Andereggen,AR,17,SA,€425K,Fifa Score,Unión de Santa Fe,€1K,1000,425000
Argentina,F. Troyansky,AR,20,SA,€450K,Fifa Score,Bahía Blanca,€1K,1000,450000
Argentina,G. Benítez,AR,23,SA,€240K,Fifa Score,Argentinos Juniors,€2K,2000,240000
Argentina,L. Passerini,AR,22,SA,€290K,Fifa Score,Club Atlético Tigre,€2K,2000,290000
Argentina,J. Andrada,AR,22,SA,€280K,Fifa Score,Godoy Cruz,€2K,2000,280000
Argentina,N. Linares,AR,21,SA,€325K,Fifa Score,Banfield,€2K,2000,325000
Argentina,M. López,AR,19,SA,€350K,Fifa Score,Banfield,€2K,2000,350000
Argentina,L. Vila,AR,25,SA,€280K,Fifa Score,Bahía Blanca,€2K,2000,280000
Argentina,E. Alderete,AR,21,SA,€300K,Fifa Score,Chacarita Juniors,€2K,2000,300000
Argentina,L. Mosevich,AR,20,SA,€325K,Fifa Score,Argentinos Juniors,€1K,1000,325000
Argentina,F. Henríquez,AR,22,SA,€290K,Fifa Score,Godoy Cruz,€2K,2000,290000
Argentina,M. Peralta,AR,20,SA,€325K,Fifa Score,Atlético Tucumán,€1K,1000,325000
Argentina,D. Valdez,AR,24,SA,€240K,Fifa Score,Atlético Tucumán,€1K,1000,240000
Argentina,G. Groba,AR,21,SA,€300K,Fifa Score,Chacarita Juniors,€2K,2000,300000
Argentina,C. Sánchez,AR,18,SA,€425K,Fifa Score,Talleres de Cordoba,€1K,1000,425000
Argentina,N. Menéndez,AR,23,SA,€260K,Fifa Score,Chacarita Juniors,€2K,2000,260000
Argentina,K. Mac Allister,AR,19,SA,€300K,Fifa Score,Argentinos Juniors,€1K,1000,300000
Argentina,C. Villagra,AR,21,SA,€375K,Fifa Score,Banfield,€2K,2000,375000
Argentina,D. Batallini,AR,21,SA,€325K,Fifa Score,Argentinos Juniors,€2K,2000,325000
Argentina,M. Valenzuela,AR,18,SA,€375K,Fifa Score,Newell's Old Boys,€1K,1000,375000
Argentina,L. Robertone,AR,20,SA,€450K,Fifa Score,Vélez Sarsfield,€2K,2000,450000
Argentina,M. Aquino,AR,23,SA,€240K,Fifa Score,Arsenal de Sarandí,€1K,1000,240000
Argentina,N. Domínguez,AR,19,SA,€425K,Fifa Score,Vélez Sarsfield,€2K,2000,425000
Argentina,G. Carrasco,AR,20,SA,€325K,Fifa Score,Club Atlético Lanús,€2K,2000,325000
Argentina,P. Fernández,AR,30,SA,€160K,Fifa Score,Chacarita Juniors,€2K,2000,160000
Argentina,L. Contin,AR,21,SA,€350K,Fifa Score,Gimnasia y Esgrima La Plata,€3K,3000,350000
Argentina,R. Caballuci,AR,24,SA,€300K,Fifa Score,Bahía Blanca,€2K,2000,300000
Argentina,T. Figueroa,AR,25,SA,€350K,Fifa Score,Belgrano de Córdoba,€3K,3000,350000
